ticker,shortName,sector,industry,recommendationMean,overallRisk,beta,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,2.2,8,1.026324,4.53,5.98,28.333334,21.463211,2.14,19.579,6.5554934,0.29247,0.1919,0.121,0.068,0.0070999996,0.1916,0.7,50.009,0.10401,0.24781999,1.546,2.37
AA,Alcoa Corporation,Basic Materials,Aluminum,2.6,1,2.442674,-8.55,3.18,,10.449685,-3.15,27.134,1.2246628,0.0311,-0.13563,,-0.263,0.0117999995,,,28.399,-0.0110599995,-0.22429001,0.692,1.799
AAC,Ares Acquisition Corporation,Financial Services,Shell Companies,,,0.013452,-0.07,-1.01,,-10.524753,,-1.136,,0.0,0.0,,,,0.0,,,-0.00911,,0.006,0.009
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,2.0,,1.072739,-0.22,-0.99,,-1.2321212,-0.06,4.008,0.30434132,-0.17719,-0.24053,,0.004,,0.0,,26.451,-0.07631,-0.33159,0.209,0.231
AACI,Armada Acquisition Corp. I,Financial Services,Shell Companies,,,,-0.59,,,,,-0.741,,0.0,0.0,,,,0.0,,,-0.022130001,,0.033,0.033
AACIU,Armada Acquisition Corp. I,Financial Services,Shell Companies,,,,-0.203,,,,,-0.741,,0.0,0.0,,,,,,,-0.022130001,,0.033,0.033
AACIW,Armada Acquisition Corp. I Warrant,,,,,,,,,,,,,,,,,,,,,,,,
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,,,,0.0,,Infinity,,,0.001,10199.999,0.0,0.0,,,,0.0,,3975.095,,,,0.001
AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,1.6,8,,-2.55,-2.71,,-2.1549816,,5.974,0.9775695,0.0,0.0,,1.543,,0.0,,1.074,-0.2475,-0.45731997,8.832,9.293
AAIC,Arlington Asset Investment Corp,Real Estate,REIT—Mortgage,2.7,6,1.484586,0.11,0.27,41.000004,16.703705,-2.41,6.429,0.7015088,0.0,0.21154,,-0.591,,0.0,,265.41,0.0068300003,0.02728,1.568,1.591
AAIN,Arlington Asset Investment Corp,,,,,,,,,,,,,,,,,,,,,,,,
