ticker,zacks_rank
A,3
AA,3
AAC,
AACG,
AACI,
AACIU,
AACIW,
AACT,
AADI,3
AAIC,3
AAIN,
AAL,2
AAM,
AAMC,
AAME,
AAN,3
AAOI,3
AAON,2
AAP,5
AAPL,3
AAT,3
AAU,
AB,4
ABBV,3
ABC,3
ABCB,3
ABCL,2
ABCM,2
ABEO,
ABEV,2
ABG,3
ABIO,
ABL,
ABLLW,
ABM,4
ABNB,2
ABOS,3
ABR,2
ABSI,3
ABT,3
ABUS,3
ABVC,
AC,
ACA,2
ACABW,
ACAC,
ACAD,2
ACAH,
ACAHU,
ACAHW,
ACAQ,
ACB,2
ACBA,
ACBAU,
ACBAW,
ACCD,2
ACCO,3
ACDC,5
ACDCW,
ACEL,3
ACER,3
ACET,3
ACGL,1
ACGLN,
ACGLO,
ACGN,
ACHC,3
ACHL,2
ACHR,3
ACHV,
ACI,3
ACIU,3
ACIW,3
ACLS,1
ACLX,3
ACM,2
ACMR,3
ACN,3
ACNB,2
ACNT,3
ACON,
ACONW,
ACOR,
ACP,
ACR,3
ACRE,5
ACRO,
ACRS,3
ACRV,3
ACRX,3
ACST,2
ACT,2
ACTG,
ACU,
ACV,
ACVA,3
ACXP,3
ADAG,3
ADAP,3
ADBE,3
ADC,3
ADCT,2
ADD,
ADEA,3
ADER,
ADERW,
ADES,3
ADEX,
ADI,3
ADIL,3
ADM,3
ADMA,2
ADMP,
ADN,4
ADNT,3
ADNWW,
ADOC,
ADOCR,
ADOCW,
ADP,3
ADPT,2
ADRT,
ADSE,3
ADSEW,
ADSK,3
ADT,4
ADTH,
ADTHW,
ADTN,3
ADTX,3
ADUS,3
ADV,2
ADVM,4
ADVWW,
ADX,
ADXN,
AE,3
AEAE,
AEAEU,
AEAEW,
AEE,3
AEF,
AEFC,
AEG,2
AEHL,
AEHR,1
AEI,
AEIS,3
AEL,3
AEM,3
AEMD,
AENT,
AENTW,
AENZ,
AEO,2
AEON,
AEP,4
AEPPZ,
AER,2
AES,3
AESC,
AESI,3
AEVA,3
AEY,
AEYE,3
AEZS,3
AFAR,
AFARU,
AFB,
AFBI,
AFCG,3
AFG,4
AFGB,
AFGC,
AFGD,
AFGE,
AFIB,3
AFL,3
AFMD,3
AFRI,
AFRIW,
AFRM,3
AFT,
AFTR,
AFYA,1
AG,3
AGAC,
AGAE,
AGBA,
AGBAW,
AGCO,3
AGD,
AGE,
AGEN,3
AGFY,
AGI,3
AGIL,
AGIO,3
AGL,3
AGLE,3
AGM,3
AGMH,
AGNC,3
AGNCL,
AGNCM,
AGNCN,
AGNCO,
AGNCP,
AGO,3
AGR,4
AGRI,3
AGRIW,
AGRO,2
AGRX,4
AGS,3
AGTI,3
AGX,
AGYS,3
AHCO,4
AHG,
AHH,4
AHI,
AHL,
AHT,4
AI,3
AIB,
AIC,
AIF,
AIG,3
AIH,
AIHS,
AIM,
AIMBU,
AIMD,
AIMDW,
AIN,3
AINC,3
AIO,
AIP,3
AIR,2
AIRC,3
AIRG,3
AIRI,3
AIRS,4
AIRT,
AIRTP,
AIT,2
AIU,
AIV,
AIXI,
AIZ,2
AIZN,
AJG,3
AJX,3
AJXA,
AKA,3
AKAM,2
AKAN,
AKBA,3
AKLI,
AKO,
AKR,3
AKRO,2
AKTS,3
AKTX,3
AKU,3
AKYA,2
AL,3
ALAR,3
ALB,1
ALBT,
ALC,2
ALCC,
ALCO,3
ALCY,
ALCYU,
ALCYW,
ALDX,3
ALE,3
ALEC,1
ALEX,3
ALG,2
ALGM,2
ALGN,1
ALGS,3
ALGT,2
ALHC,3
ALIM,3
ALIT,3
ALK,3
ALKS,3
ALKT,4
ALL,4
ALLE,3
ALLG,
ALLK,3
ALLO,3
ALLR,
ALLT,3
ALLY,5
ALNY,3
ALOR,
ALOT,
